ingredient,substitutes
baby octopus,"octopus, squid, cuttlefish"
bar clam,quahog
basa,"catfish, sole, chilean sea bass"
bay scallops,"calico scallops, sea scallop, shark, cod cheeks, skate"
beluga caviar,"hackleback roe, keluga caviar, ossetra caviar, sevruga caviar, paddlefish roe, bowfin roe, lumpfish roe"
black sea bass,"cod, red snapper, rockfish, tilefish, grouper"
blackfish,"grouper, monkfish, red snapper, sheepshead, rockfish"
bluefin tuna,albacore
bluefish,"butterfish, whitefish, mackerel, striped bass"
bombay duck,"smoked whitefish, bonito dried"
bonita,"albacore, yellowfish tuna, swordfish, shark"
bonita flakes,"anchovy paste, bacon"
bottarga,"tarama, smoked cod roe"
bowfin roe,"caviar, hackleback roe, paddlefish roe"
buffalofish,"butterfish, whitefish"
butterfish,"harvestfish, bluefish, buffalofish, whitefish"
calico scallops,"bay scallops, sea scallop, shark, cod cheeks, skate"
canal shrimp,"shrimp, shrimp meat"
cape capensis,"cod, pollock"
capelin roe,"flying fish roe, golden caviar"
carp,"buffalofish, bluefish, perch, chilean sea bass"
catfish,"mahi-mahi, grouper, pike, whitefish"
caviar,"hacklegack roe, paddlefish roe, salmon roe, lumpfish roe, bowfin roe"
cherrystone clam,"manila clam, littleneck clams"
chilean sea bass,sablefish
chinook salmon,coho salmon
chum salmon,"coho salmon, chinook salmon"
clam,"mussels, cockle, abalone, scallop"
cobia,"monkfish, shark"
cockle,clam
cod,"pollock, cape capensis, bailibut, sole, flounder, orange rough, haddock, whiting, hake, ocean perch, tilapia, catfish, tilefish"
cod cheeks,cod
coho salmon,chinook salmon
conch,"whelk, clam, abalone"
conger eel,"elvers, freshwater eels, spiny eel, lamprey, monkfish, mullet"
crab,"crayfish, lobster, scallop, shrimp surimi, sheepshead"
crayfish,"rock shrimp, dublin bay prawn, shrimp, spiny lobster, lobster, pike, sheepshead, crab"
cusk,cod
cuttlefish,"squid, baby octopus, octopus"
dogfish,shark
dried crayfish,dried shrimp
dried shrimp,"dried crayfish, shrimp"
drums,tilefish
dublin bay prawn,"spiny lobster, lobster, crayfish, shrimp"
dungeness crab,king crab
eel,"lamprey, monkfish, mullet, conger eel, elvers, freshwater eels"
elvers,"conger eel, mullet, freshwater eels, monkfish, lamprey"
escolar,"salmon, halibut"
farmed salmon,"coho salmon, chinook salmon, chum salmon"
finnan haddie,"sturgeon, smoked salmon"
fish balls,kamaboko
fish paste,"anchovy paste, fish sauce"
flounder,"sole, orange roughy, cod, haddock"
flying fish roe,"capelin roe, golden caviar, salmon roe, trout caviar"
freshwater eels,"conger eel, elvers, freshwater eels, lamprey, monkfish, mullet"
geoduck clam,"clam, abalone"
golden caviar,"capelin roe, flying fish roe, lumpfish roe, salmon roe, trout caviar"
gravlax,smoked salmon
green mussel,"mussels, prince edward island mussel, oyster, soft shell clam, littleneck clams"
grouper,"striped bass, mahi-mahi, black sea bass, red snapper, pompano, cobia, catfish"
hackleback roe,"sevruga caviar, beluga caviar, paddlefish roe, bowfin roe"
haddock,"cod, hake, flounder, sole"
haddock roe,shad roe
hake,"haddock, cod, sole, halibut, tilefish"
halibut,"turbot, sea bass, tilefish"
hard-shell clam,"bar clam, soft-shell clam"
harvestfish,"butterfish, bluefish, herring"
herring,"shad, smelt, mackerel, trout"
herring roe,shad roe
imperial caviar,"ossetra caviar, paddlefish roe, hackleback roe, bowfin roe, lumpfish roe"
john dory,"sole, turbot, halibut"
jonah crab,"dungeness crab, stone crab"
kamaboko,surimi
keluga caviar,beluga caviar
king crab,"snow crab, surimi"
kippered black cod,"smoked salmon, cod"
kippered herring,"smoked whitefish, kippered black cod, sardines"
lamprey,eel
lingcod,cod
littleneck clams,"manila clam, cherrystone clam"
lobster,"spiny lobster, dublin bay prawn, shrimp, crab, monkfish, sheepshed, pike"
lobster coral,"sea urchin roe, caviar"
lox,"nova, smoked salmon"
lumpfish roe,"caviar, golden caviar, salmon roe, smelt roe"
mackerel,"spanish mackerel, shad, bluefish, herring, trout"
mahi-mahi,"monkfish, shark, swordfish, tuna, catfish, tilefish"
manila clam,soft-shell clam
marlin,swordfish
monkfish,"blackfish, lobster, mahi-mahi, shark, red snapper"
monkfish liver,pate
mullet,"orange roughy, sea bass, ocean perch"
mussels,"oyster, soft-shell clam, littleneck clams, bluefish"
nova,"lox, smoked salmon"
ocean perch,"rockfish, porgies, red snapper, mullet"
octopus,"squid, cuttlefish"
orange roughy,"flounder, sole, red snapper, ocean perch, grouper"
ormer,"clam, abalone"
ossetra caviar,"sevruga caviar, beluga caviar, paddlefish roe, hackleback roe, bowfin roe, lumpfish roe"
oyster,"mussels, soft-shell clam, littleneck clams, cherrystone clam"
paddlefish roe,"sevruga caviar, beluga caviar, hackleback roe, bowfin roe"
parrotfish,mullet
peekytoe crabs,"dungeness crab, stone crab, surimi"
perch,"red snapper, porgies, rockfish, pike"
periwinkle,"whelk, conch, clam, escargot"
pike,pike
pilchards,sardines
pink salmon,"chum salmon, chinook salmon"
pismo clam,clam
plaice,"sole, flounder, sand dabs"
pollock,cod
pomfret,chilean sea bass
pompano,grouper
porgies,"ocean perch, rockfish, red snapper"
prince edward island mussel,"mussels, green mussel, oyster, soft shell clam, littleneck clams"
quahog,hard shell clam
rainbow runner,salmon
razor clam,"geoduck clam, quahog"
red snapper,"sea bass, rockfish, grouper, halibut, pompano, cobia, sole, flounder, cod, orange roughy, catfish"
rock shrimp,"shrimp, shrimp meat, canal shrimp"
rockfish,"red snapper, sea bass, halibut, perch, ocean perch, porgies, cod"
sablefish,"butterfish, whitefish, buffalofish"
salmon,"swordfish, mahi-mahi, albacore, bonita, marlin, striped bass, trout, arctic char"
salmon roe,"smoked salmon roe, trout caviar, golden caviar, flying fish roe, caviar, lumpfish roe"
salt cod,cod
salted herring roe,"shad roe, bottarga"
sand dabs,"sole, flounder"
sardines,"anchovies, smelt, herring, mackerel"
scallop,"shark, cod cheeks, monkfish, skate, lobster, crab, sole, flounder, shrimp, bay scallops, calico scallops, sea scallop"
sea bass,"red snapper, mahi-mahi, tilapia"
sea scallop,"bay scallops, calico scallops, shark, cod cheeks, skate, monkfish"
sea urchin roe,"flying fish roe, salmon roe, lobster coral"
sevruga caviar,"paddlefish roe, hackleback roe, ossetra caviar, beluga caviar, bowfin roe, lumpfish roe"
shad,"herring, mackerel"
shad roe,"herring roe, haddock roe"
shark,"swordfish, mahi-mahi, tune, sturgeon, marlin, halibut, cod"
sheepshead,"pompano, crab"
shrimp,"dublin bay prawn, crayfish, lobster, scallop, crab, surimi, chicken"
shrimp meat,"crayfish, lobster, scallop, crab, surimi, chicken"
shrimp powder,dried shrimp
skate,shark
smelt,"shad, anchovies, sardines, mackerel"
smelt roe,"flying fish roe, lumpfish roe"
smoked cod roe,smoked salmon roe
smoked eel,"kippered herring, smoked whitefish"
smoked salmon,"lox, gravlax, nova"
smoked salmon roe,salmon roe
smoked sprats,sardines
smoked trout,"smoked whitefish, smoked salmon"
smoked whitefish,"smoked sprats, smoked trout"
snow crab,"king crab, surimi"
sockeye salmon,salmon
soft-shell clam,"razor clam, littleneck clams, manila clam, mussels"
sole,"flounder, cod, john dory, orange roughy, hake, haddock, pollock, plaice"
spanish mackerel,"serra, mackerel"
spiny eel,"conger eel, elvers, freshwater eels, monkfish, mullet"
spiny lobster,"lobster, dublin bay prawn, shrimp, monkfish"
squid,"cuttlefish, octopus, shrimp, chicken breast"
stone crab,"dungeness crab, blue crab, surimi"
striped bass,"grouper, chilean sea bass, tilefish, halibut, salmon, blackfish"
sturgeon,"salmon, swordfish, halibut, tuna, whitefish"
surf clam,"manila clam, razor clam, mussles"
surimi,crab
swordfish,"marlin, shark, tuna, sturgeon, halibut, mahi-mahi"
tarama,"bottarga, smoked cod roe"
tilapia,"red snapper, chilean sea bass, flounder, sole, orange roughy, ocean perch"
tilefish,"drums, mahi-mahi, sea bass, halibut, cod"
trout,"shad, whitefish, sablefish, salmon, perch"
trout caviar,"salmon roe, smoked salmon roe, golden caviar, flying fish roe, caviar, lumpfish roe"
tuna,"swordfish, sturgeon, shark, marlin, halibut, salmon, mackerel"
turbot,"halibut, sole, john dory, salmon"
vesiga,bean threads
whelk,"periwinkle, conch"
whitefish,"catfish, pike, trout"
whiting,"cod, hake, flounder, sole"
yellowfin tuna,"albacore, bluefin tuna, tuna"
a1 sauce,"barbecue sauce, ketchup"
absinthe,"herbsaint, pernod, anisette"
acesulfame K,"advantame, aspartame, saccarin, scralose, neotame"
adobo sauce,tabasco sauce
advantame,"acesulfame K, aspartame, saccarin, sucralose, neotame"
african bird pepper,cayenne pepper dried
ajwain,"thyme, cumin, caraway seed"
almond butter,"peanut butter, cashew butter"
almond extract,"vanilla extract, almond liqueur, bitter almond"
almond filling,"almond paste, marzipan, hazelnut paste"
almond paste,marzipan
amchoor,"lemon juice, lime juice, tamarind, mango, papaya"
anchovy paste,"anchovies, shrimp paste, fish sauce"
angelica,"lovage, tarragon"
angostura bitters,"peychaud's bitters, fernet branca, orange bitters, worcestershire sauce"
anise basil,holy basil
anise extract,"anise oil, anise flavored liqueurs, anise seed, vanilla extract"
anise oil,anise extract
anise seed,"fennel seed, star anise, caraway seed, tarragon"
apple brandy,pear brandy
apple butter,applesauce
apple cider,apple juice
apple jelly,"black currant jelly, grape jelly, apple juice"
apple juice,apple cider
applesauce,"apple butter, pumpkin puree, plum puree"
apricot brandy,"apricot liqueur, cherry brandy, orange liqueur"
apricot jam,"peach jam, plum puree"
armagnac,cognac
asafetida,"garlic powder, onion powder"
asem candis,kokum
asian barbecue sauce,"korean barbecue sauce, hot chili sauce, chili garlic sauce"
aspartame,"acesulfame K, advantame, saccarin, sucralose, neotame"
avocado leaves,"banana, hoja santa leaves, fennel, maguey leaves"
balsamic vinegar,"brown rice vinegar, chinese black vinegar, red wine vinegar, fruit vinegar, sherry vinegar"
bamboo salt,sea salt
banana catsup,ketchup
banyuls,"port, black muscat wine, porter ale"
baobab leaves,"okra, ogbono"
barbera,"chianti, zinfandel"
barley malt syrup,"molasses, brown rice syrup, maple syrup"
basil,"oregano, chervil, tarragon, summer savory, cilantro, mint, italian seasoning, dill leaf, thyme"
bay leaf,"indian bay leaf, herbes de provence, sage, california bay leaf, organo, thyme, boldo leaves, juniper berries"
bean sauce,"black bean sauce, chili sauce, awase miso, brown rice miso"
beau monde seasoning,"bon appetit seasoning, onion powder, celery salt, bouquet garni"
beaujolais,"gamay, pinot noir, red burgundy wine, chianti, barbera"
berbere,cayenne pepper - ground
berbere sauce,"hot chili sauce, chili garlic sauce"
bergamot herb,mint
bernaise sauce,hollandaise sauce
berry syrup,"maple syrup, pancake syrup"
berry wine,fruit liqueurs
betel leaf,"shiso, grape leaves"
bittersweet chocolate,"semi-sweet chocolate, sweet chocolate"
black bean sauce,"bean sauce, chili bean paste"
black cumin seeds,"cumin, nigella"
black currant jelly,"muscadine jelly, grape jelly"
black currant vinegar,"cranberry vinegar, blueberry vinegar"
black garlic,softneck garlic
black muscat wine,"banyuls, port, porter ale"
black mustard seeds,"brown mustard seeds, yellow mustard seeds"
black pepper,"white pepper, papaya seeds, green pepper"
black salt,table salt
black sesame seeds,sesame seed
black treacle,"blackstrap molasses, molasses, golden syrup"
blackstrap molasses,black treacle
blueberry jam,"raspberry preserves, gooseberry preserves"
blueberry vinegar,"black currant vinegar, cranberry vinegar"
blush wine,"gewurztraminer, beaujolais, white wine"
boldo leaves,"indian bay leaf, bay leaf"
bon appetit seasoning,"celery salt, beau monde seasoning"
borage,"spinach, escarole, nasturtium, violet, rose petals"
red bordeaux wine,"cabernet savignon, merlot, red burgundy wine"
white bordeaux wine,sauvignon blanc
bourbon extract,bourbon whiskey
brandy,"bourbon whiskey, fruit syrup"
brandy extract,"brandy, vanilla extract, rum exrtract"
brown cardamom,cardamom
brown mustard seeds,"black mustard seeds, yellow mustard seeds"
brown rice syrup,"maple syrup, molasses, barley malt syrup, honey"
brown rice vinegar,"rice vinegar, cider vinegar"
red burgundy wine,"beaujolais, red bordeaux wine, gamay, gamay beaujolais, rioja"
white burgundy wine,white bordeaux wine
butter salt,fine salt
butterscotch chips,"chocolate chips, peanut butter chips"
cabernet franc,"red bordeaux wine, cabernet sauvignon, merlot, zinfandel"
cabernet sauvignon,"red bordeaux wine, merlot, zinfandel"
cachaca,"white rum, tequila, grappa, marc"
cajun spice mix,creole spice mix
calamondin juice,"kalamansi juice, key lime juice"
california bay leaf,bay leaf
candied angelica,marzipan
candied chestnuts,chestnut cream
candied fruit,dried apricot
candied ginger,ginger jam
candy cane pieces,"sprinkles, jimmies"
cane vinegar,"white vinegar, white wine vinegar, rice vinegar"
caraway seed,"dill seed, anise seed, cumin"
cardamom,"brown cardamom, nutmeg, cinnamon, coriander seeds, fennel, ginger root"
carob,cocoa
carob chips,chocolate chips
cassia cinnamon,"cinnamon, nutmeg, allspice"
ground cayenne pepper,"red chile powder, paprika, red pepper flakes, chili powder, aleppo pepper"
celery salt,"beau monde seasoning, bon appetit seasoning"
celery seed,"celery leaves, dill seed, celery salt"
chablis,"pouilly-fuisse, chardonnay, pinot blanc, sauvignon blanc, muscadet, vermouth"
champagne,"apple cider, ginger ale"
champagne vinegar,"white wine vinegar, rice vinegar, raspberry vinegar, cider vinegar"
chardonnay,"pinot blanc, chablis, muscadet, vermouth"
chat masala,garam masala
chee hou sauce,hoisin sauce
chenin blanc,"pinot blanc, chablis, vermouth"
cherry brandy,apricot brandy
chervil,"cicely, basil, dill leaf, fines herbes, tarragon, chives"
chestnut cream,"chestnut puree, hazelnut paste"
chia seeds,"poppy seeds, sesame seed"
chianti,"zinfandel, beaujolais, syrah"
chile leaf,spinach
chile paste,"harissa, red pepper flakes, dried chiles"
chile verde sauce,"salsa verde, enchilada sauce, taco sauce"
chili garlic sauce,"chile paste, hot chili sauce, hot pepper sauce, red pepper sauce"
chili powder,"chili seasoning, paprika, ground cayenne pepper, cumin"
chili seasoning,chili powder
chinese black vinegar,"balsamic vinegar, cider vinegar, red wine vinegar, worcestshire sauce"
chinese chives,"chives, flowering chives"
chinese mustard,creole mustard
chinese sugar,sugar
chives,"green onion, cilantro, onion powder, parsley, chinese chives"
chocolate,"white chocolate, cocoa butter, cocoa"
chocolate chips,"nuts, carob chips, raisins, butterscotch chips, sweet chocolate, peanut butter chips, white chocolate chips"
chocolate curls,"grated chocolate, cocoa"
chocolate extract,chocolate syrup
chocolate syrup,chocolate extract
chocolate-hazelnut spread,peanut butter
chutney,orange marmalade
cicely,"fennel leaves, chervil"
cider vinegar,"malt vinegar, white vinegar, wine vinegar"
cilantro,"papalo, celery, dill leaf, basil, chives, mint"
cinammon,"nutmeg, allspice, apple pie spice, coriander seeds"
cinnamon extract,cinnamon oil
cinnamon oil,cinnamon extract
clam juice,fish broth
cloudberry preserves,"loganberry jam, gooseberry preserves"
clove,"allspice, nutmeg, black pepper"
coarse salt,table salt
cocoa,"carob, unsweetened chocolate"
cocoa butter,chocolate
coconut syrup,cream of coconut
coconut vinegar,"cane vinegar, white wine vinegar, cider vinegar"
cognac,"armagnac, brandy"
cold duck wine,"champagne, sparkling cider"
comb honey,"liquid honey, spun honey"
compound chocolate coating,"couverture chocolate, chocolate-hazelnut spread"
cooking wine,table wine
coriander seeds,"caraway seed, cumin, cardamom, fennel, nutmeg, turmeric"
corn syrup,"golden syrup, honey, molasses"
couverture chocolate,"compound chocolate coating, chocolate"
crab boil,"old bay seasoning, pickling spice"
cranberry juice,"grape juice, pineapple juice, pomegranate juice"
cranberry vinegar,raspberry vinegar
creole spice mix,cajun spice mix
crystallized ginger,"candied ginger, ginger root, chopped nuts"
culantro,"cilantro, mint, basil"
cumin,"caraway seed, black cumin seeds, chili powder, coriander seeds, garlic powder, onion powder"
curcuma,saffron
curing salt,"non-iodized salt, sea salt"
curly parsley,"italian parsley, chervil, celery, cilantrol"
currant syrup,crème de cassis
curry leaf,"bay leaf, basil, kaffir lime leaf"
custard powder,instant vanilla pudding mix
dark chocolate,"semi-sweet chocolate, unsweetened chocolate"
dark corn syrup,golden syrup
dark soy sauce,"thai sweet soy sauce, mushroom soy sauce"
date sugar,sugar
de-alcoholized wine,"wine essence, grape juice, cooking wine"
decorator's sugar,"demerara sugar, nonpareils, turbinado sugar"
demerara sugar,"turbinado sugar, sugar, light brown sugar"
dessert wine,"sparkling wine, liqueur, coffee"
dijon mustard,"honey mustard, whole-grain mustard, wasabi cream sauce, prepared mustard"
dill leaf,"chervil, fennel leaves, tarragon, basil, parsley"
dill seed,"dill leaf, caraway seed, celery seed"
doughnut sugar,"powdered sugar, invert sugar"
dragees,"nonpareils, jimmies"
dry vermouth,"sweet vermouth omit, punt e mes, sherry, white wine, madeira, grape juice, sake"
dwen jang,red miso
egusi seeds,"pine nut, pumpkin seeds, ogbono, corn starch"
elephant garlic,garlic
enchilada sauce,"red chile sauce, taco sauce, salsa verde"
epazote,"savory, ajwain, parsley, cilantro"
extracts,flavoring oils
falernum,simple syrup
fennel seed,"anise seed, cumin, caraway seed, dill leaf"
fenugreek leaves,celery leaves
fig preserves,kumquats in syrup
file powder,"okra, corn starch"
fine salt,coarse salt
fingerroot,"lesser galangal, galangal, ginger root"
fish sauce,"nuoc cham, soy sauce, anchovy paste"
flavored syrups,liquer fruit syrup
flavoring oils,extracts
flowering chives,"garlic greens, chinese chives"
fortified wine,"sparkling wine, dessert wine"
framboise,"kirsch, raspberry liqueur, framboise syrup"
french colombard,chenin blanc
french sea salt,"sea salt, kosher salt, sea vegetables"
fructose,"honey, sugar"
fruit brandies,"brandy, fruit-flabored brandy"
fruit syrup,"flavored syrups, fruit liqueurs"
fruit vinegar,"vinegar, champagne vinegar"
fruit wine,fruit liqueurs
fruit-flavored brandy,"fruit liqueurs, fruit wine"
galangal,ginger root
gamay,"valdiguie, pinot noir, beaujolais, cabernet sauvignon, red burgundy wine, syrah"
gamay beaujolais,"valdiguie, pinot noir, beaujolais, cabernet sauvignon, red burgundy wine, syrah"
garam masala,curry powder
garlic,"granulated garlic, garlic flakes, garlic powder, garlic salt, asafetida, rcambole, garlic juice, shallot, onion, garlic chives"
garlic chives,"garlic greens, chives, onion"
garlic flakes,garlic clove
garlic greens,green onion
garlic juice,"granulated garlic, garlic powder"
garlic powder,"garlic, garlic salt, garlic juice, garlic flakes, granulated garlic"
gewurztraminer,"johannisberg riesling, chardonnay, french colombard, sauvignon blanc"
gianjuja,milk chocolate
ginger ground,"crystallized ginger, ginger root, cardamom, allspice, cinnamon, mace, nutmeg, coriander seeds"
ginger jam,candied ginger
ginger juice,ginger root
ginger root,"green ginger, galangal, crystallized ginger, allspice, coriander seeds"
glace cherries,"dried cherry, dried cranberries"
golden syrup,"maple syrup, dark corn syrup, light corn syrup"
gooseberry preserves,"cloudberry preserves, loganberry jam, strawberry preserves"
granulated garlic,garlic powder
grape jelly,"muscadine jelly, red currant jelly"
grape juice,de-alcoholized wine
grapefruit juice,"orange juice, pineapple juice"
grappa,"apple brandy, pear brandy, cognac, armagnac"
green ginger,ginger root
green pepper,"pink peppercorns, capers"
grenadine,"pomegranate juice, crème de cassis, raspberry syrup, pomegranate molasses, craberry juice"
guacamole,"avocado, salsa"
guajes,garlic
hard cider,"perry, apple cider"
hardneck garlic,softneck garlic
harissa,"chile paste, hot pepper sauce"
hawaiian salt,"french sea salt, sea salt, kosher salt"
hawaij,garam masala
hazelnut butter,chocolate-hazelnut spread
hazelnut paste,chocolate-hazelnut spread
herb vinegar,vinegar
hoisin sauce,"chee hou sauce, apple butter, sweet bean sauce"
hoja santa leaves,"avocado leaves, fennel, banana leaves, corn husks, epazote, swiss chard"
hollandaise sauce,bernaise sauce
holy basil,basil
honey,"liquid honey, spun honey"
prepared horseradish,"wasabi, wasabi cream sauce, wasabi root"
hot chili sauce,"chili garlic sauce, berbere sauce"
hot cocoa mix,mexican chocolate
hot mustard,"creole mustard, chinese mustard"
hot pepper sauce,"sriracha, red pepper flakes, cayenne pepper dried"
huauzontle,broccoli
hummus,"nut butter, peanut butter"
hyssop,sage
indian bay leaf,bay leaf
indonesian bay leaf,"curry leaf, bay leaf"
invert sugar,"powdered sugar, doughnut sugar, sugar"
iodized salt,"coarse salt, non-iodized salt, kosher salt, salt substitue"
italian parsley,"curly parsley, chervil, celery, cilantro"
jackfruit seed,"breadnut seeds, chestnut"
jaggery,"palm sugar, piloncillo, dark brown sugar, maple sugar, date sugar"
japanese soy sauce,soy sauce
jelly beans,jimmies
jimmies,"dragees, nonpareils, sprinkles"
johannisberg riesling,"rhine wine, gewurztraminer, chenin blanc, pinot blanc"
juniper berries,gin
kacang saus,kecap manis
kaffir lime leaf,"lime, kaffir lime zest, lime zest, lemon zest, lemon leaves"
kalamansi juice,"key lime juice, calamondin juice, lemon juice"
kecap manis,maggi's seasoning sauce
ketchup,banana catsup
kewra essence,"kewra water, rose water"
kewra water,"kewra essence, rose water"
key lime juice,"lime juice, passion fruit juice, calamondin juice, rose's lime juice"
khus syrup,rose syrup
kirsch,"cherry liqueurs, framboise, plum brandy"
korean barbecue sauce,"asian barbecue sauce, chili garlic sauce"
kosher salt,"pickling salt, margarita salt, table salt"
kuka,file powder
kumquats in syrup,fig preserves
la-lot leaf,"shiso leaves, grape leaves"
lemon balm,"bergamot herb, lemon zest, chamomile"
lemon basil,sweet basil
lemon extract,"lemon zest, oil of lemon, orange extract, vanilla extract, lemon liqueur"
lemon juice,"lime juice, key lime juice, malt vinegar"
lemon marmalade,orange marmalade
dried lemon peel,lemon zest
lemon verbena,"lemongrass, lemon zest"
lemongrass,"lemon zest, lemon verbena, lemon balm, lemon leaves"
lesser galangal,"fingerroot, ginger root, galangal"
light brown sugar,turbinado sugar
light corn syrup,"dark corn syrup, golden syrup, honey"
lighter bake,pureed prunes
lime juice,"key lime juice, lemon juice"
liqueur,"fruty syrup, bourbon whiskey, rum, marsala, vanilla extract"
liquid honey,"spun honey, comb honey"
liquid smoke,"smoked ham hock, chipotle pepper, bacon"
loganberry jam,"raspberry preserves, gooseberry preserves, cloudberry preserves"
long pepper,"black pepper, red pepper flakes"
lotus seeds,blanched almonds
lovage,"chinese celery, celery leaves, parsley, chervil"
lovage seed,celery seed
mace,"nutmeg, allspice, pumpkin pie spice, cinnamon, ginger root"
madeira,"port, marsala, dry vermouth, sherry, chicken stock, beef stock"
maggi's seasoning sauce,"thai sweet soy sauce, mushroom soy sauce"
mahlab,"chinese almond, fennel seed, cardamom"
malbec,"merlot, chianti"
malt sugar,honey
malt vinegar,"lemon juice, cider vinegar, white wine vinegar"
mandarin orange juice,"orange juice, pineapple juice"
maple sugar,"date sugar, sucanat"
maple syrup,"pancake syrup, berry syrup, brown rice syrup, dark brown sugar, molasses, sugar"
maraschino cherry,cherry flavoring
marc,cachaca
margarita salt,"kosher salt, sea salt, table salt, sugar"
marigold blossom,nasturtium
marjoram,"organo, thyme, sage, basil, summer savory, herbes de provence, italian seasoning"
marsala,"madeira, sherry"
marshmallow,"marshmallow crème, whipped cream"
masala,"madeira, dry madeira, port"
mayonnaise,"dijon mustard, roasted garlic, aioli, yogurt, avocado"
melegueta pepper,"cardamom, black pepper"
meloukhia,spinach
merlot,"cabernet sauvignon, red bordeaux wine"
metaxa,"cognac, armagnac"
mexican chocolate,cocoa
milk chocolate,"sweet chocolate, semi-sweet chocolate"
mint,"basil, shiso, cilantro, dill leaf"
mint syrup,peppermint extract
mint-flavored apple jelly,mint sauce
mint syrup,peppermint extract
mint-flavored apple jelly,mint sauce
mirin,"sherry, white wine"
misri,sugar
mitsuba,watercress
mixed spice,"pumpkin pie spice, allspice"
miyoga,green ginger
molasses,"dark corn syrup, maple syrup, honey, barley malt syrup, dark brown sugar, golden syrup"
muscadet,"pinot blanc, chardonnay, chablis, sauvignon blanc"
muscadine jelly,"grape jelly, red currant jelly"
muscat,"port, riesling"
muscovado sugar,dark brown sugar
mustard powder,"prepared mustard, yellow mustard seeds, ground turmeric"
mustard seeds,"wasabi, prepared horseradish"
prepared mustard,"chinese mustard, dijon mustard, creole mustard, mustard seeds"
nam prik,sambal terasi
nam prik pao,"chile paste, red pepper flakes"
nanami togarashi,shichimi togarashi
neotame,"acesulfame K, sucralose, advantame, aspartame, saccarin"
nigella,"cumin, sesame seed, oregano"
non-iodized salt,"iodized salt, kosher salt, salt substitute"
nonpareils,"jimmies, dragees"
nut butter,"hummus, cream cheese"
nutmeg,"mace, allspice, cinnamon, ground ginger, clove"
ogbono,"okra, file powder, egusi seeds, baobab leaves"
oil of bitter almonds,almond extract
oil of lemon,lemon extract
oil of orange,orange extract
old bay seasoning,crab boil
olive butter,"tapenade, butter"
onion salt,beau monde seasoning
opal basil,sweet basil
orange bitters,orange liqueur
orange extract,"rum extract, vanilla extract, orange liqueur"
orange flower water,"rose water, vanilla extract, orange extract, orange liqueur, orange zest"
orange juice,"grapefuit juice, pineapple juice"
orange marmalade,lemon marmalade
dried orange peel,orange zest
oregano,"marjoram, thyme, basil, summer savory, bay leaf, herbes de provence, sage, rosemary"
orgeat,almond extract
oyster sauce,soy sauce
palillo,turmeric
palm sugar,"jaggery, piloncillo, maple sugar, date sugar"
palm syrup,simple syrup
palm vinegar,"coconut vinegar, vinegar"
pancake syrup,"maple syrup, berry syrup, brown rice syrup, dark brown sugar, molasses, sugar"
panch phoron,"garam masala, curry powder"
papalo,cilantro
papaya seeds,black pepper
paprika,"ground cayenne pepper, chili powder, black pepper"
parsley,"italian parsley, curly parsley, chervil, celery leaves, cilantro, dill leaf, tarragon, italian seasoning"
passion fruit juice,key lime juice
peach jam,apricot jam
peanut butter,"chocolate-hazelnut spread, almond butter, sesame paste, hummus"
peanut butter chips,"chocolate chips, butterscotch chips"
pear brandy,"apple brandy, brandy"
pepper,coriander seeds
peppermint extract,"peppermint oil, crème de menthe, peppermint schnapps, vanilla extract"
peppermint oil,"wintergreen oil, peppermint extract, anise oil"
perry,"hard cider, apple cider"
petite syrah,"syrah, rhone wine"
peychaud's bitters,"angostura bitters, fernet branca"
piccalilli relish,pickle relish
pickle relish,"bread and butter pickles, piccalilli relish"
pickling salt,"kosher salt, table salt"
pil pil sauce,"bernaise sauce, hollandaise sauce"
pineapple juice,"grapefruit juice, orange juice"
pineapple vinegar,cider vinegar
pink peppercorns,green pepper
pinot blanc,"chardonnay, muscadet, chablis, sauvignon blanc"
pinot grigio,"gewurztraminer, riesling"
pinot noir,"cabernet sauvignon, syrah"
pipicha,cilantro
piri piri sauce,"sriracha, red chile sauce"
pisco,grappa
pizza spice,italian seasoning
plum brandy,"fruit brandies, grappa, sloe gin"
plum puree,"applesauce, lighter bake"
plum sauce,hoisin sauce
pomegranate juice,"cranberry juice, pineapple juice"
pomegranate molasses,"cranberry juice, pomegranate juice, verjus, crème de cassis, grenadine"
popcorn salt,table salt
poppy seed filling,sesame paste
poppy seeds,sesame seed
port,"madeira, dry vermouth, black muscat wine, banyuls"
pouilly-fuisse,chardonnay
pouilly-fume,sauvignon blanc
powdered sugar,artificial sweeteners
praline paste,"chestnut puree, chopped nuts"
pretzel salt,"kosher salt, sesame seed"
pumpkin puree,sweet potato
pumpkin seeds,"squash seeds, sesame seed, sunflower seeds"
pureed prunes,"apple butter, ligher bake"
quatre epices,"chinese fixe-spice powder, nutmeg"
raspberry preservers,"strawberry preserves, blueberry jam"
raspberry syrup,grenadine
raspberry vinegar,"sherry vinegar, champagne vinegar, blueberry vinegar, red wine vinegar, balck currant vinegar, rice vinegar, cider vinegar, balsamic vinegar"
raw sugar,turninado sugar
recaito,"salsa verde, chile verde sauce"
red bean curd,"red sweet bean paste, red miso"
red chile powder,"ground cayenne pepper, paprika, hot chili oil"
red chile sauce,piri piri sauce
red currant jelly,black currant jelly
red curry paste,yellow curry paste
red pepper flakes,"ground cayenne pepper, chile paste"
red pepper sauce,tomato sauce
